,RTYPE,STYPE,SPED,SIZE,CHARTER,VALID_NUM,API05B,ST_RANK,SIM_RANK,AA_NUM,AA_SIG,AI_NUM,AI_SIG,AS_NUM,AS_SIG,FI_NUM,FI_SIG,HI_NUM,HI_SIG,PI_NUM,PI_SIG,WH_NUM,WH_SIG,SD_NUM,SD_SIG,EL_NUM,EL_SIG,DI_NUM,DI_SIG,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,MEALS,P_FDAY,P_GATE,P_MIGED,P_EL,P_RFEP,P_DI,YR_RND,SMOB,CBMOB,DMOB,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,PEN_2,PEN_35,PEN_6,PEN_78,PEN_911,ENROLL,PARENT_OPT,TESTED,SCI,VCST_E28,PCST_E28,VCST_E911,PCST_E911,CW_CSTE,VCST_M28,PCST_M28,VCST_M911,PCST_M911,CW_CSTM,VCST_S28,PCST_S28,VCST_S911,PCST_S911,CW_CSTS,VCST_H28,PCST_H28,VCST_H911,PCST_H911,CW_CSTH,VNRT_R28,PNRT_R28,CW_NRTR,VNRT_L28,PNRT_L28,CW_NRTL,VNRT_S28,PNRT_S28,CW_NRTS,VNRT_M28,PNRT_M28,CW_NRTM,VCHS_E911,PCHS_E911,CW_CHSE,VCHS_M911,PCHS_M911,CW_CHSM,TOT_28,TOT_911
7205,S,H,NA,NA,NA,1447,824,10,10,59,No,6,No,188,Yes,215,Yes,115,Yes,8,No,814,Yes,183,Yes,185,No,126,Yes,4,0,13,14,8,1,56,12,0,11,0,5,11,9,No,4,96,97,NA,NA,29,83,3,7,24,36,31,3.86,99,0,0,0,0,0,100,1549,30,1512,173.29276,0,0,1440,432,28.8,0,0,1437,287.4,19.2,0,0,1436,215.4,14.4,0,0,896,201.6,13.5,0,0,0,0,0,0,0,0,0,0,0,0,605,181.5,12.1,601,180.3,12,0,1498.2
2259,S,E,NA,NA,NA,368,742,5,2,23,No,1,No,23,No,9,No,183,Yes,1,No,128,Yes,147,Yes,54,No,39,No,7,0,6,3,50,0,34,40,47,0,0,12,4,10,No,7,93,93,21,31,NA,84,7,35,32,21,5,2.83,100,10,23,77,0,0,0,395,0,394,171.84255,368,176.64,0,0,53.2,368,117.76,0,0,35.5,95,19,0,0,5.7,0,0,0,0,0,92,5.52,1.7,92,2.76,0.8,92,2.76,0.8,92,7.36,2.2,0,0,0,0,0,0,331.8,0
9807,S,E,NA,S,NA,87,781,7,NA,0,No,10,No,0,No,0,No,4,No,3,No,70,Yes,63,Yes,0,No,14,No,0,11,0,0,4,3,82,71,27,5,0,0,0,17,No,5,95,95,20,16,NA,79,8,26,53,8,4,2.74,100,0,11,47,7,36,0,92,0,92,NA,87,41.76,0,0,50.9,87,27.84,0,0,34,17,3.4,0,0,4.1,14,2.8,0,0,3.4,31,1.86,2.3,31,0.93,1.1,31,0.93,1.1,31,2.48,3,0,0,0,0,0,0,82,0
8666,D,3,NA,NA,NA,2564,802,B,B,92,No,12,No,448,Yes,77,No,510,Yes,28,No,1363,Yes,411,Yes,288,Yes,235,Yes,4,1,17,3,21,1,52,12,0,8,0,8,5,9,NA,5,95,95,NA,NA,26,96,10,9,15,21,44,3.78,96,5,0,0,0,0,100,2698,2,2679,NA,0,0,2554,766.2,29.1,0,0,2564,512.8,19.4,0,0,2552,382.8,14.5,0,0,1680,378,14.3,0,0,0,0,0,0,0,0,0,0,0,0,1005,301.5,11.4,987,296.1,11.2,0,2637.4
537,S,H,NA,NA,NA,654,748,8,5,2,No,14,No,9,No,2,No,59,No,7,No,556,Yes,91,No,15,No,46,No,1,2,1,0,9,1,85,12,0,2,0,2,0,7,No,5,95,95,NA,NA,25,95,2,14,50,25,9,3.24,95,9,0,0,0,0,100,685,0,685,168.54982,0,0,652,195.6,30.1,0,0,654,130.8,20.1,0,0,648,97.2,15,0,0,400,90,13.9,0,0,0,0,0,0,0,0,0,0,0,0,230,69,10.6,224,67.2,10.3,0,649.8
9932,S,E,NA,NA,NA,279,674,3,9,1,No,0,No,0,No,0,No,178,Yes,0,No,42,No,231,Yes,186,Yes,6,No,0,0,0,0,62,0,16,83,25,0,29,60,4,2,No,9,90,90,17,23,21,51,32,36,20,11,1,2.11,82,9,11,47,16,27,0,310,0,310,154.21182,279,133.92,0,0,52.5,279,89.28,0,0,35,40,8,0,0,3.1,46,9.2,0,0,3.6,73,4.38,1.7,73,2.19,0.9,73,2.19,0.9,73,5.84,2.3,0,0,0,0,0,0,255,0
7364,S,E,NA,NA,NA,393,642,2,5,104,Yes,2,No,47,No,1,No,231,Yes,2,No,6,No,393,Yes,281,Yes,45,No,29,0,11,0,57,0,2,98,52,6,0,75,4,11,No,13,87,89,19,26,NA,42,43,35,13,6,3,1.9,100,0,26,74,0,0,0,456,2,451,156.40442,393,188.64,0,0,53.7,388,124.16,0,0,35.3,89,17.8,0,0,5.1,0,0,0,0,0,104,6.24,1.8,105,3.15,0.9,103,3.09,0.9,102,8.16,2.3,0,0,0,0,0,0,351.24,0
49,S,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,4,0,34,1,22,52,53,15,0,39,1,11,No,3,96,96,20,27,NA,92,11,24,18,18,28,3.28,100,0,28,72,0,0,0,273,0,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6130,S,E,NA,NA,NA,382,739,5,5,48,No,1,No,14,No,0,No,65,Yes,0,No,254,Yes,216,Yes,59,No,59,Yes,15,0,3,0,16,0,64,58,41,5,0,16,1,15,No,12,88,93,20,29,NA,99,5,61,26,7,2,2.4,100,0,19,60,21,0,0,432,0,432,167.16076,382,183.36,0,0,54.6,382,122.24,0,0,36.4,63,12.6,0,0,3.8,0,0,0,0,0,87,5.22,1.6,87,2.61,0.8,87,2.61,0.8,87,6.96,2.1,0,0,0,0,0,0,335.6,0
7526,S,M,NA,NA,NA,998,679,4,6,51,No,4,No,9,No,204,Yes,662,Yes,14,No,54,No,647,Yes,496,Yes,101,Yes,5,0,1,20,67,1,5,56,0,12,0,30,21,10,No,8,92,96,NA,NA,27,85,24,32,17,24,2,2.48,95,4,0,0,0,67,33,1089,2,1081,159.63055,672,322.56,326,97.8,47.6,672,215.04,326,65.2,31.7,0,0,326,48.9,5.5,358,71.6,0,0,8.1,310,18.6,2.1,310,9.3,1.1,310,9.3,1.1,310,24.8,2.8,0,0,0,0,0,0,671.2,211.9
9892,D,1,NA,NA,NA,2541,633,B,B,6,No,2,No,18,No,0,No,2265,Yes,3,No,247,Yes,2157,Yes,1707,Yes,70,No,0,0,1,0,89,0,9,82,21,9,33,61,9,3,NA,12,88,89,19,28,26,95,52,22,18,6,3,1.85,91,5,11,31,10,21,27,2852,2,2840,NA,1867,896.16,673,201.9,46.3,1866,597.12,673,134.6,30.8,252,50.4,670,100.5,6.4,275,55,390,87.75,6,540,32.4,1.4,540,16.2,0.7,537,16.11,0.7,540,43.2,1.8,248,74.4,3.1,226,67.8,2.9,1706.59,666.95
2464,S,E,NA,NA,NA,346,811,8,7,7,No,5,No,11,No,10,No,129,Yes,0,No,184,Yes,147,Yes,49,No,32,No,2,1,3,3,38,0,53,40,48,4,0,12,2,10,No,5,95,95,19,30,NA,98,6,28,32,20,13,3.07,97,0,24,76,0,0,0,374,8,365,175.38298,346,166.08,0,0,53.5,346,110.72,0,0,35.7,88,17.6,0,0,5.7,0,0,0,0,0,80,4.8,1.5,80,2.4,0.8,80,2.4,0.8,80,6.4,2.1,0,0,0,0,0,0,310.4,0
10087,S,M,A,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,100,100,20,0,0,0,0,20,No,20,80,80,NA,NA,NA,80,50,25,0,25,0,2,100,0,0,0,20,80,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6907,D,1,NA,NA,NA,10019,720,B,B,1214,Yes,53,No,180,Yes,83,No,2794,Yes,74,No,5591,Yes,4869,Yes,627,Yes,1376,Yes,13,1,2,1,28,1,54,43,18,9,0,5,1,14,NA,14,86,88,19,32,29,84,13,24,36,17,9,2.86,91,1,9,29,10,21,31,11451,18,11190,NA,6998,3359.04,3014,904.2,44.9,6987,2235.84,3014,602.8,29.9,1019,203.8,2982,447.3,6.9,1011,202.2,1893,425.925,6.6,1999,119.94,1.3,1999,59.97,0.6,2002,60.06,0.6,2000,160,1.7,1194,358.2,3.8,1180,354,3.7,6400.85,3092.425
532,D,3,NA,NA,NA,712,735,B,B,3,No,16,No,9,No,2,No,66,No,9,No,600,Yes,108,Yes,15,No,48,No,1,2,1,0,9,1,84,13,0,2,0,2,0,7,NA,9,91,94,NA,NA,22,92,2,16,49,24,8,3.2,94,9,0,0,0,0,100,758,0,755,NA,0,0,710,213,29.6,0,0,712,142.4,19.8,0,0,706,105.9,14.7,0,0,450,101.25,14.1,0,0,0,0,0,0,0,0,0,0,0,0,260,78,10.9,260,78,10.9,0,718.55
4219,S,E,NA,NA,NA,238,747,5,2,6,No,33,No,3,No,3,No,26,No,2,No,163,Yes,116,Yes,2,No,47,No,2,14,1,1,11,1,68,48,44,10,0,3,2,20,No,1,99,99,22,27,NA,91,8,23,41,19,9,2.98,100,0,22,54,25,0,0,241,0,241,171.76637,238,114.24,0,0,54.8,238,76.16,0,0,36.5,40,8,0,0,3.8,0,0,0,0,0,51,3.06,1.5,51,1.53,0.7,51,1.53,0.7,51,4.08,2,0,0,0,0,0,0,208.6,0
9658,D,1,NA,NA,NA,10003,699,B,B,205,Yes,83,No,472,Yes,46,No,4523,Yes,55,No,4545,Yes,5075,Yes,3112,Yes,1250,Yes,2,1,5,0,46,1,45,46,19,5,3,25,8,13,NA,8,92,93,20,31,28,92,23,28,27,14,9,2.58,97,2,9,29,9,19,33,10815,14,10739,NA,6716,3223.68,3270,981,44.2,6708,2146.56,3282,656.4,29.4,982,196.4,3268,490.2,7.2,995,199,2092,470.7,7,1876,112.56,1.2,1876,56.28,0.6,1871,56.13,0.6,1871,149.68,1.6,1307,392.1,4.1,1303,390.9,4.1,6140.29,3381.3
587,D,1,NA,S,NA,77,480,B,B,29,No,2,No,4,No,2,No,11,No,3,No,21,No,23,No,3,No,30,No,40,2,3,1,28,2,18,20,0,0,0,4,0,27,NA,82,57,59,NA,NA,NA,25,21,35,12,28,4,2.56,86,6,0,2,1,21,77,787,1,772,NA,19,9.12,56,16.8,28.1,21,6.72,55,11,19.2,0,0,53,7.95,8.6,9,1.8,38,8.55,11.2,1,0.06,0.1,1,0.03,0,1,0.03,0,1,0.08,0.1,49,14.7,16,51,15.3,16.6,17.84,74.3
4632,S,E,NA,NA,NA,482,663,2,4,2,No,2,No,5,No,13,No,430,Yes,0,No,27,No,343,Yes,303,Yes,34,No,1,0,1,3,89,0,6,67,71,6,44,61,3,7,No,5,94,96,20,29,NA,76,29,39,18,11,3,2.2,98,2,33,67,0,0,0,509,0,509,159.37849,481,230.88,0,0,54.8,481,153.92,0,0,36.6,0,0,0,0,0,0,0,0,0,0,181,10.86,2.6,181,5.43,1.3,181,5.43,1.3,181,14.48,3.4,0,0,0,0,0,0,421,0
6461,S,E,NA,NA,NA,717,864,9,3,47,No,1,No,135,Yes,88,No,171,Yes,4,No,271,Yes,27,No,49,No,1,No,7,0,18,13,24,1,37,4,1,10,0,6,2,0,Yes,3,97,98,20,31,NA,74,1,9,22,48,21,3.8,94,6,26,56,18,0,0,742,0,740,184.9464,717,344.16,0,0,54.8,717,229.44,0,0,36.5,136,27.2,0,0,4.3,0,0,0,0,0,136,8.16,1.3,136,4.08,0.6,136,4.08,0.6,135,10.8,1.7,0,0,0,0,0,0,627.92,0
9481,D,1,NA,NA,NA,355,462,B,B,20,No,3,No,1,No,1,No,142,Yes,2,No,142,Yes,132,Yes,30,No,87,Yes,5,1,2,0,41,1,36,22,0,0,0,5,4,18,NA,64,37,45,NA,NA,NA,47,30,40,17,11,2,2.14,81,12,0,2,2,28,67,1142,4,1056,NA,94,45.12,255,76.5,39.5,94,30.08,259,51.8,26.6,1,0.2,239,35.85,11.7,42,8.4,170,38.25,15.1,9,0.54,0.2,9,0.27,0.1,9,0.27,0.1,9,0.72,0.2,38,11.4,3.7,29,8.7,2.8,85.6,222.5
7945,S,E,NA,NA,NA,400,630,1,1,88,Yes,8,No,84,Yes,38,No,172,Yes,0,No,10,No,356,Yes,144,Yes,41,No,23,3,20,9,43,0,2,83,37,1,7,28,9,9,Yes,12,88,94,19,23,NA,54,34,34,20,8,4,2.14,88,3,20,58,21,0,0,453,0,452,160.65496,400,192,0,0,55.2,399,127.68,0,0,36.7,79,15.8,0,0,4.5,0,0,0,0,0,63,3.78,1.1,63,1.89,0.5,63,1.89,0.5,63,5.04,1.4,0,0,0,0,0,0,348.08,0
10238,S,E,NA,NA,NA,266,876,9,10,7,No,1,No,13,No,3,No,27,No,0,No,215,Yes,45,No,7,No,25,No,3,0,5,1,10,0,82,14,44,4,0,2,1,10,No,5,95,96,19,31,NA,78,5,24,39,23,10,3.08,100,0,24,65,11,0,0,282,1,281,179.85946,266,127.68,0,0,54.5,266,85.12,0,0,36.3,54,10.8,0,0,4.6,0,0,0,0,0,53,3.18,1.4,53,1.59,0.7,53,1.59,0.7,53,4.24,1.8,0,0,0,0,0,0,234.2,0
5120,S,E,NA,NA,NA,207,887,10,9,3,No,3,No,25,No,0,No,28,No,1,No,142,Yes,16,No,13,No,32,No,2,1,11,0,13,0,70,8,44,1,0,6,0,15,No,5,95,96,19,28,NA,91,2,7,23,39,30,3.89,100,0,25,52,23,0,0,218,0,218,182.04543,207,99.36,0,0,55.4,207,66.24,0,0,37,27,5.4,0,0,3,0,0,0,0,0,41,2.46,1.4,41,1.23,0.7,41,1.23,0.7,41,3.28,1.8,0,0,0,0,0,0,179.2,0
397,S,E,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,100,0,0,0,0,0,0,20,No,0,100,100,NA,NA,NA,100,0,30,40,20,10,3.1,100,0,10,20,0,70,0,10,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3952,S,E,NA,NA,NA,411,734,5,8,7,No,0,No,15,No,27,No,351,Yes,1,No,10,No,330,Yes,199,Yes,39,No,2,0,3,7,86,0,3,79,41,4,0,44,9,9,No,6,94,94,19,31,NA,100,25,40,23,9,2,2.24,100,0,19,66,15,0,0,439,0,439,163.65986,411,197.28,0,0,53.8,411,131.52,0,0,35.9,97,19.4,0,0,5.3,0,0,0,0,0,92,5.52,1.5,92,2.76,0.8,92,2.76,0.8,92,7.36,2,0,0,0,0,0,0,366.6,0
8727,S,H,A,S,NA,16,618,B,B,1,No,1,No,1,No,1,No,7,No,0,No,5,No,3,No,3,No,1,No,4,8,8,4,33,0,42,17,0,4,0,0,17,8,No,29,71,100,NA,NA,10,83,15,20,40,20,5,2.8,100,0,0,0,0,0,100,24,0,23,NA,0,0,16,4.8,34.3,0,0,16,3.2,22.9,0,0,16,2.4,17.1,0,0,16,3.6,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
4830,S,H,A,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,0,7,36,0,43,21,0,0,0,50,0,100,No,100,0,29,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,7,93,14,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4309,S,H,NA,S,NA,35,687,5,NA,0,No,0,No,1,No,0,No,3,No,0,No,26,No,35,No,0,No,2,No,0,0,3,0,8,0,76,100,0,0,0,0,0,5,No,5,95,95,NA,NA,11,58,5,41,23,32,0,2.82,100,0,0,0,0,0,100,38,1,37,NA,0,0,35,10.5,30.5,0,0,34,6.8,19.8,0,0,35,5.25,15.3,0,0,18,4.05,11.8,0,0,0,0,0,0,0,0,0,0,0,0,14,4.2,12.2,12,3.6,10.5,0,34.4
43,S,E,NA,NA,NA,168,797,7,5,67,Yes,0,No,8,No,0,No,17,No,0,No,47,No,71,Yes,17,No,33,No,40,0,5,1,11,1,27,43,46,25,0,10,2,20,No,3,97,98,20,32,NA,88,7,10,23,24,36,3.71,100,0,23,77,0,0,0,175,4,171,174.39133,168,80.64,0,0,53.3,168,53.76,0,0,35.6,47,9.4,0,0,6.2,0,0,0,0,0,37,2.22,1.5,37,1.11,0.7,37,1.11,0.7,37,2.96,2,0,0,0,0,0,0,151.2,0
6172,S,H,NA,NA,NA,173,536,1,4,39,No,10,No,9,No,0,No,55,Yes,5,No,53,Yes,46,No,22,No,2,No,22,5,6,0,33,2,28,18,2,1,1,10,5,1,No,55,45,88,NA,NA,28,63,14,40,17,23,6,2.65,100,6,1,3,4,26,66,395,0,386,142.4298,42,20.16,130,39,31.7,41,13.12,131,26.2,21.1,3,0.6,131,19.65,10.9,19,3.8,93,20.925,13.3,14,0.84,0.5,14,0.42,0.2,14,0.42,0.2,13,1.04,0.6,67,20.1,10.8,67,20.1,10.8,40.4,145.975
9480,S,E,NA,NA,NA,476,662,2,2,3,No,2,No,6,No,1,No,324,Yes,0,No,140,Yes,298,Yes,264,Yes,67,No,1,0,1,0,68,0,29,59,36,2,21,52,5,13,No,4,97,97,20,30,NA,100,46,17,17,14,6,2.18,100,0,14,61,25,0,0,496,3,493,162.54947,476,228.48,0,0,54.4,476,152.32,0,0,36.3,90,18,0,0,4.3,0,0,0,0,0,106,6.36,1.5,106,3.18,0.8,106,3.18,0.8,106,8.48,2,0,0,0,0,0,0,420,0
2693,S,H,NA,NA,D,138,774,9,10,126,Yes,0,No,0,No,0,No,9,No,0,No,0,No,1,No,0,No,6,No,91,0,0,0,6,0,0,0,0,0,0,0,0,5,No,3,96,97,NA,NA,24,83,0,14,21,47,18,3.67,43,29,0,0,0,0,100,142,0,142,155.76804,0,0,138,41.4,28.8,0,0,138,27.6,19.2,0,0,138,20.7,14.4,0,0,64,14.4,10,0,0,0,0,0,0,0,0,0,0,0,0,66,19.8,13.8,66,19.8,13.8,0,143.7
221,S,E,NA,S,D,88,701,4,NA,62,Yes,0,No,5,No,0,No,9,No,0,No,12,No,50,Yes,6,No,6,No,72,0,5,0,10,0,12,58,55,0,0,5,2,6,No,8,92,93,19,24,NA,95,6,6,53,18,16,3.31,85,8,26,74,0,0,0,98,2,96,NA,88,42.24,0,0,52.9,88,28.16,0,0,35.3,19,3.8,0,0,4.8,0,0,0,0,0,28,1.68,2.1,28,0.84,1.1,28,0.84,1.1,28,2.24,2.8,0,0,0,0,0,0,79.8,0
4011,S,M,NA,NA,D,268,783,8,I,0,No,0,No,0,No,0,No,0,No,0,No,268,Yes,62,Yes,0,No,15,No,0,0,0,0,0,0,100,15,0,10,0,0,0,5,No,4,96,96,NA,25,26,77,13,20,25,23,18,3.14,62,8,0,0,37,63,0,278,0,278,NA,268,128.64,0,0,51.7,267,85.44,0,0,34.4,0,0,0,0,0,72,14.4,0,0,5.8,101,6.06,2.4,101,3.03,1.2,101,3.03,1.2,100,8,3.2,0,0,0,0,0,0,248.6,0
2405,D,1,NA,NA,NA,2383,834,B,B,110,Yes,8,No,185,Yes,34,No,429,Yes,23,No,1528,Yes,464,Yes,63,No,189,Yes,5,0,8,1,18,1,64,13,15,10,0,4,4,8,NA,3,97,97,19,29,29,93,8,14,22,34,21,3.45,95,4,8,24,10,22,36,2503,38,2450,NA,1551,744.48,831,249.3,44,1545,494.4,829,165.8,29.2,210,42,825,123.75,7.3,258,51.6,500,112.5,7.3,435,26.1,1.2,435,13.05,0.6,436,13.08,0.6,436,34.88,1.5,314,94.2,4.2,311,93.3,4.1,1419.59,838.85
8284,S,E,NA,NA,NA,410,672,2,7,13,No,0,No,3,No,9,No,354,Yes,0,No,31,No,345,Yes,245,Yes,37,No,4,0,1,2,85,0,8,82,21,3,18,50,9,9,No,12,88,94,23,30,NA,80,48,23,21,6,2,1.89,100,0,21,59,20,0,0,465,0,465,156.15976,410,196.8,0,0,54.6,410,131.2,0,0,36.4,75,15,0,0,4.2,0,0,0,0,0,87,5.22,1.4,87,2.61,0.7,87,2.61,0.7,87,6.96,1.9,0,0,0,0,0,0,360.4,0
5101,D,1,NA,NA,NA,21915,765,B,B,386,Yes,150,Yes,2426,Yes,350,Yes,9054,Yes,163,Yes,9338,Yes,8135,Yes,5678,Yes,2211,Yes,2,1,11,2,42,1,42,34,20,12,1,21,8,10,NA,7,93,94,19,29,29,92,21,17,23,24,15,2.94,93,4,10,32,11,17,31,23377,26,23322,NA,15247,7318.56,6640,1992,45.4,15235,4875.2,6667,1333.4,30.2,2429,485.8,6611,991.65,7.2,1730,346,4157,935.325,6.2,4092,245.52,1.2,4092,122.76,0.6,4088,122.64,0.6,4091,327.28,1.6,2380,714,3.5,2393,717.9,3.5,13843.76,6684.275
5672,S,H,NA,NA,NA,1987,653,4,5,115,Yes,3,No,36,No,9,No,1315,Yes,8,No,500,Yes,1202,Yes,736,Yes,188,Yes,6,0,2,0,67,0,24,53,0,7,0,24,15,10,No,6,94,95,NA,NA,31,81,29,30,21,16,5,2.37,85,8,0,0,0,0,100,2135,2,2106,156.76417,0,0,1964,589.2,28.8,0,0,1987,397.4,19.4,0,0,1987,298.05,14.5,0,0,1202,270.45,13.2,0,0,0,0,0,0,0,0,0,0,0,0,816,244.8,11.9,829,248.7,12.1,0,2048.6
521,S,E,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6216,S,E,NA,NA,NA,408,923,10,10,44,No,5,No,23,No,4,No,101,Yes,2,No,223,Yes,93,Yes,30,No,15,No,11,1,6,1,24,0,54,22,37,33,0,5,2,4,No,2,98,99,20,29,NA,90,2,12,28,25,32,3.72,95,0,18,61,20,0,0,417,0,416,184.86813,408,195.84,0,0,54.5,408,130.56,0,0,36.3,87,17.4,0,0,4.8,0,0,0,0,0,79,4.74,1.3,79,2.37,0.7,79,2.37,0.7,79,6.32,1.8,0,0,0,0,0,0,359.6,0
2646,S,E,NA,NA,NA,869,862,9,9,122,Yes,3,No,77,No,26,No,217,Yes,11,No,413,Yes,247,Yes,129,No,51,No,15,0,9,3,24,1,47,27,23,17,0,5,12,6,No,2,97,98,17,33,31,97,9,18,21,32,20,3.37,92,2,12,39,15,34,0,890,0,890,178.09735,869,417.12,0,0,52.2,869,278.08,0,0,34.8,122,24.4,0,0,3.1,131,26.2,0,0,3.3,269,16.14,2,269,8.07,1,269,8.07,1,269,21.52,2.7,0,0,0,0,0,0,799.6,0
6992,S,E,NA,NA,NA,346,748,5,3,22,No,0,No,15,No,38,No,188,Yes,6,No,77,Yes,131,Yes,92,Yes,108,Yes,7,0,4,11,55,2,22,37,20,12,0,24,6,32,No,7,92,93,18,26,NA,58,6,22,29,30,12,3.21,95,5,21,58,21,0,0,381,4,373,171.35759,346,166.08,0,0,55.2,346,110.72,0,0,36.8,62,12.4,0,0,4.1,0,0,0,0,0,59,3.54,1.2,59,1.77,0.6,59,1.77,0.6,59,4.72,1.6,0,0,0,0,0,0,301,0
1492,S,H,NA,NA,NA,1282,673,5,7,17,No,0,No,6,No,4,No,1065,Yes,0,No,189,Yes,740,Yes,518,Yes,101,Yes,2,0,1,0,83,0,15,51,0,17,22,27,16,8,No,6,94,94,NA,NA,29,96,29,26,30,12,4,2.37,76,20,0,0,0,0,100,1369,3,1360,156.87656,0,0,1281,384.3,29.3,0,0,1282,256.4,19.6,0,0,1280,192,14.7,0,0,770,173.25,13.2,0,0,0,0,0,0,0,0,0,0,0,0,497,149.1,11.4,517,155.1,11.8,0,1310.15
4798,S,M,NA,NA,NA,1157,767,7,3,65,No,6,No,265,Yes,84,No,282,Yes,15,No,440,Yes,306,Yes,220,Yes,116,Yes,5,1,22,7,25,1,38,25,0,30,0,12,10,10,No,7,93,97,NA,NA,30,91,6,22,31,32,9,3.15,94,4,0,0,0,100,0,1241,0,1241,173.8867,1157,555.36,0,0,48,1156,369.92,0,0,32,0,0,0,0,0,582,116.4,0,0,10.1,575,34.5,3,575,17.25,1.5,574,17.22,1.5,574,45.92,4,0,0,0,0,0,0,1156.57,0
8583,S,H,NA,NA,NA,1440,824,10,5,30,No,2,No,492,Yes,23,No,149,Yes,8,No,736,Yes,123,Yes,147,No,87,No,2,0,34,2,11,1,50,7,0,10,0,9,4,6,No,4,96,97,NA,NA,31,97,3,8,16,35,37,3.95,87,6,0,0,0,0,100,1530,7,1492,179.0442,0,0,1427,428.1,30.2,0,0,1440,288,20.3,0,0,1439,215.85,15.2,0,0,819,184.275,13,0,0,0,0,0,0,0,0,0,0,0,0,502,150.6,10.6,501,150.3,10.6,0,1417.125
5362,S,E,NA,NA,NA,437,862,9,6,23,No,3,No,71,Yes,14,No,83,Yes,3,No,234,Yes,84,Yes,43,No,35,No,5,1,16,3,19,1,54,17,42,8,0,5,5,8,No,5,95,96,20,29,NA,97,3,14,31,34,17,3.49,100,0,20,80,0,0,0,459,0,459,181.59301,437,209.76,0,0,53.1,437,139.84,0,0,35.4,135,27,0,0,6.8,0,0,0,0,0,94,5.64,1.4,94,2.82,0.7,94,2.82,0.7,94,7.52,1.9,0,0,0,0,0,0,395.4,0
5051,S,E,NA,NA,NA,692,652,2,5,5,No,0,No,64,No,9,No,586,Yes,8,No,20,No,630,Yes,580,Yes,70,No,1,0,9,1,84,1,3,81,58,0,0,71,14,11,Yes,7,93,94,19,31,NA,79,70,16,8,4,2,1.52,100,2,20,60,20,0,0,750,5,745,157.31028,692,332.16,0,0,54.6,692,221.44,0,0,36.4,128,25.6,0,0,4.2,0,0,0,0,0,146,8.76,1.4,146,4.38,0.7,146,4.38,0.7,146,11.68,1.9,0,0,0,0,0,0,608.4,0
