,RTYPE,STYPE,SPED,SIZE,CHARTER,VALID_NUM,API05B,ST_RANK,SIM_RANK,AA_NUM,AA_SIG,AI_NUM,AI_SIG,AS_NUM,AS_SIG,FI_NUM,FI_SIG,HI_NUM,HI_SIG,PI_NUM,PI_SIG,WH_NUM,WH_SIG,SD_NUM,SD_SIG,EL_NUM,EL_SIG,DI_NUM,DI_SIG,PCT_AA,PCT_AI,PCT_AS,PCT_FI,PCT_HI,PCT_PI,PCT_WH,MEALS,P_FDAY,P_GATE,P_MIGED,P_EL,P_RFEP,P_DI,YR_RND,SMOB,CBMOB,DMOB,ACS_K3,ACS_46,ACS_CORE,PCT_RESP,NOT_HSG,HSG,SOME_COL,COL_GRAD,GRAD_SCH,AVG_ED,FULL,EMER,PEN_2,PEN_35,PEN_6,PEN_78,PEN_911,ENROLL,PARENT_OPT,TESTED,SCI,VCST_E28,PCST_E28,VCST_E911,PCST_E911,CW_CSTE,VCST_M28,PCST_M28,VCST_M911,PCST_M911,CW_CSTM,VCST_S28,PCST_S28,VCST_S911,PCST_S911,CW_CSTS,VCST_H28,PCST_H28,VCST_H911,PCST_H911,CW_CSTH,VNRT_R28,PNRT_R28,CW_NRTR,VNRT_L28,PNRT_L28,CW_NRTL,VNRT_S28,PNRT_S28,CW_NRTS,VNRT_M28,PNRT_M28,CW_NRTM,VCHS_E911,PCHS_E911,CW_CHSE,VCHS_M911,PCHS_M911,CW_CHSM,TOT_28,TOT_911
5351,S,E,NA,NA,NA,322,873,9,8,10,No,4,No,72,Yes,9,No,32,No,0,No,182,Yes,39,No,68,Yes,31,No,3,1,22,3,10,0,56,13,37,5,0,17,4,10,No,5,94,95,19,28,NA,0,0,0,0,0,0,NA,100,0,17,63,21,0,0,344,0,343,181.41942,322,154.56,0,0,54.4,322,103.04,0,0,36.3,69,13.8,0,0,4.9,0,0,0,0,0,64,3.84,1.4,64,1.92,0.7,64,1.92,0.7,64,5.12,1.8,0,0,0,0,0,0,284.2,0
9675,S,H,A,S,NA,61,425,B,B,2,No,1,No,1,No,2,No,21,No,0,No,24,No,17,No,0,No,0,No,3,2,3,2,37,1,44,16,0,0,0,1,1,6,No,65,35,35,NA,NA,NA,65,18,33,15,28,6,2.7,89,0,0,0,0,16,84,178,0,172,NA,5,2.4,55,16.5,30.4,5,1.6,56,11.2,20.6,0,0,55,8.25,13.3,1,0.2,42,9.45,15.5,4,0.24,0.4,4,0.12,0.2,4,0.12,0.2,4,0.32,0.5,19,5.7,9.2,20,6,9.7,5,57.1
2754,S,H,NA,NA,NA,2598,650,4,6,242,Yes,11,No,92,No,67,No,1743,Yes,9,No,431,Yes,1850,Yes,1426,Yes,282,Yes,9,0,3,3,67,0,16,66,0,12,0,26,33,12,No,7,94,96,NA,NA,29,63,26,26,19,21,7,2.58,82,8,0,0,0,0,100,2855,3,2772,155.62465,0,0,2587,776.1,30.7,0,0,2598,519.6,20.5,0,0,2580,387,15.3,0,0,1344,302.4,11.9,0,0,0,0,0,0,0,0,0,0,0,0,898,269.4,10.6,925,277.5,11,0,2532
4015,S,H,A,S,NA,25,469,B,B,0,No,0,No,2,No,0,No,23,No,0,No,0,No,17,No,10,No,1,No,2,1,11,1,70,1,10,72,0,0,3,31,5,3,No,74,24,67,NA,NA,22,90,20,29,30,15,5,2.55,100,0,0,0,0,0,100,103,0,100,NA,0,0,24,7.2,28.5,0,0,25,5,19.8,0,0,25,3.75,14.9,0,0,24,5.4,21.4,0,0,0,0,0,0,0,0,0,0,0,0,6,1.8,7.1,7,2.1,8.3,0,25.25
4160,S,M,NA,NA,NA,683,874,10,8,15,No,0,No,31,No,0,No,61,No,1,No,575,Yes,63,No,45,No,55,No,2,0,5,0,9,0,82,8,0,14,0,4,4,8,No,4,95,95,NA,28,30,95,2,8,21,37,31,3.88,100,0,0,0,31,69,0,724,2,722,181.55822,683,327.84,0,0,51.2,682,218.24,0,0,34.1,0,0,0,0,0,232,46.4,0,0,7.2,241,14.46,2.3,241,7.23,1.1,241,7.23,1.1,241,19.28,3,0,0,0,0,0,0,640.68,0
4638,S,H,NA,NA,NA,277,674,5,7,0,No,0,No,0,No,2,No,179,Yes,0,No,96,Yes,158,Yes,148,Yes,34,No,0,0,0,1,64,0,35,53,0,0,29,44,11,12,No,1,97,97,NA,NA,21,75,36,22,15,19,8,2.41,100,0,0,0,0,45,55,285,0,285,157.2672,126,60.48,151,45.3,37.2,125,40,151,30.2,24.7,0,0,151,22.65,8,54,10.8,94,21.15,11.2,71,4.26,1.5,71,2.13,0.7,71,2.13,0.7,72,5.76,2,65,19.5,6.9,67,20.1,7.1,125.56,158.9
8754,S,E,NA,NA,NA,290,811,8,7,9,No,2,No,23,No,10,No,138,Yes,0,No,106,Yes,124,Yes,63,Yes,41,No,4,1,8,3,47,0,36,41,48,18,2,21,2,14,No,6,94,95,21,29,NA,93,15,22,26,28,10,2.97,100,0,25,75,0,0,0,310,1,309,174.8559,290,139.2,0,0,53.6,290,92.8,0,0,35.7,72,14.4,0,0,5.5,0,0,0,0,0,66,3.96,1.5,66,1.98,0.8,66,1.98,0.8,66,5.28,2,0,0,0,0,0,0,259.6,0
1642,S,E,NA,S,NA,78,585,1,NA,10,No,0,No,0,No,0,No,64,Yes,0,No,4,No,70,Yes,26,No,5,No,11,0,0,0,84,0,5,90,59,0,38,34,0,6,No,9,91,100,14,11,NA,37,47,31,19,3,0,1.78,100,0,59,41,0,0,0,87,0,86,NA,78,37.44,0,0,60.3,77,24.64,0,0,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.08,0
165,S,E,NA,NA,NA,520,893,10,4,5,No,1,No,23,No,7,No,49,No,1,No,432,Yes,21,No,13,No,34,No,1,0,4,1,10,0,83,4,45,24,0,2,0,7,No,3,97,97,23,29,NA,72,1,17,24,35,23,3.61,97,0,21,79,0,0,0,536,0,536,187.10706,520,249.6,0,0,53.3,520,166.4,0,0,35.6,137,27.4,0,0,5.9,0,0,0,0,0,123,7.38,1.6,123,3.69,0.8,123,3.69,0.8,123,9.84,2.1,0,0,0,0,0,0,468,0
5486,S,E,NA,NA,NA,405,800,7,2,8,No,6,No,19,No,12,No,46,No,4,No,305,Yes,87,Yes,18,No,32,No,2,2,5,3,11,1,74,21,1,6,0,3,1,7,No,7,93,94,19,31,NA,92,3,24,36,28,10,3.19,100,0,18,62,21,0,0,434,0,434,178.39611,405,194.4,0,0,54.5,405,129.6,0,0,36.3,87,17.4,0,0,4.9,0,0,0,0,0,76,4.56,1.3,76,2.28,0.6,76,2.28,0.6,76,6.08,1.7,0,0,0,0,0,0,356.6,0
4996,S,E,NA,NA,NA,442,792,7,10,1,No,0,No,134,Yes,2,No,296,Yes,3,No,6,No,365,Yes,339,Yes,29,No,0,0,30,0,68,1,1,83,40,0,0,71,13,6,No,9,91,96,21,30,NA,7,9,32,15,44,0,2.94,97,3,20,60,20,0,0,484,0,484,162.95683,441,211.68,0,0,54.5,441,141.12,0,0,36.3,94,18.8,0,0,4.8,0,0,0,0,0,84,5.04,1.3,84,2.52,0.6,84,2.52,0.6,84,6.72,1.7,0,0,0,0,0,0,388.4,0
3469,S,E,NA,NA,NA,389,643,2,4,0,No,0,No,0,No,0,No,388,Yes,0,No,1,No,389,Yes,309,Yes,25,No,0,0,0,0,99,0,1,100,63,3,0,78,1,6,No,9,91,91,19,33,NA,96,43,35,12,7,3,1.9,92,3,31,69,0,0,0,428,0,428,157.67958,389,186.72,0,0,55.2,389,124.48,0,0,36.8,0,0,0,0,0,0,0,0,0,0,136,8.16,2.4,136,4.08,1.2,136,4.08,1.2,136,10.88,3.2,0,0,0,0,0,0,338.4,0
9640,S,E,NA,NA,NA,369,757,6,10,5,No,4,No,1,No,0,No,290,Yes,0,No,66,Yes,284,Yes,218,Yes,52,No,2,1,0,0,77,0,18,76,51,1,20,53,7,14,No,6,94,95,19,31,NA,98,40,49,9,1,0,1.72,96,4,25,75,0,0,0,392,0,392,157.59501,369,177.12,0,0,53.1,369,118.08,0,0,35.4,90,18,0,0,5.4,0,0,0,0,0,103,6.18,1.9,103,3.09,0.9,103,3.09,0.9,103,8.24,2.5,0,0,0,0,0,0,333.8,0
2595,S,H,NA,NA,NA,2870,592,2,3,772,Yes,9,No,220,Yes,42,No,1572,Yes,161,Yes,93,No,1672,Yes,1500,Yes,190,Yes,28,0,7,2,54,6,3,49,0,5,2,29,26,7,No,7,93,96,NA,NA,32,60,27,35,18,17,2,2.34,81,6,0,0,0,0,100,3164,0,3061,151.9242,0,0,2796,838.8,28.8,0,0,2870,574,19.7,0,0,2861,429.15,14.7,0,0,1689,380.025,13,0,0,0,0,0,0,0,0,0,0,0,0,1145,343.5,11.8,1159,347.7,11.9,0,2913.175
6698,S,E,NA,NA,NA,481,734,5,4,126,Yes,1,No,4,No,6,No,278,Yes,2,No,64,No,266,Yes,77,No,33,No,26,1,1,1,59,0,13,52,53,13,0,16,1,7,Yes,6,95,97,19,34,NA,47,15,25,37,15,9,2.79,97,6,25,75,0,0,0,507,0,507,169.0131,481,230.88,0,0,53,481,153.92,0,0,35.4,113,22.6,0,0,5.2,0,0,0,0,0,140,8.4,1.9,140,4.2,1,140,4.2,1,140,11.2,2.6,0,0,0,0,0,0,435.4,0
1932,D,2,NA,NA,NA,316,749,B,B,6,No,0,No,1,No,0,No,129,Yes,1,No,178,Yes,171,Yes,0,No,12,No,2,0,0,0,39,0,57,50,29,0,6,0,0,5,NA,13,86,86,19,25,27,94,17,37,31,13,2,2.46,88,13,15,44,13,28,0,368,2,364,NA,315,151.2,0,0,52.5,316,101.12,0,0,35.1,49,9.8,0,0,3.4,45,9,0,0,3.1,85,5.1,1.8,85,2.55,0.9,85,2.55,0.9,85,6.8,2.4,0,0,0,0,0,0,288.12,0
7139,S,E,NA,NA,NA,359,750,6,6,10,No,39,No,2,No,3,No,78,Yes,1,No,226,Yes,178,Yes,47,No,67,Yes,3,10,1,1,23,0,62,51,50,6,0,13,1,17,No,9,91,92,21,28,NA,96,13,33,37,12,5,2.63,100,0,23,77,0,0,0,393,0,393,168.36561,359,172.32,0,0,53.1,359,114.88,0,0,35.4,86,17.2,0,0,5.3,0,0,0,0,0,100,6,1.8,100,3,0.9,100,3,0.9,100,8,2.5,0,0,0,0,0,0,324.4,0
9402,S,E,NA,NA,NA,263,876,9,10,8,No,8,No,15,No,1,No,59,Yes,3,No,169,Yes,50,Yes,28,No,33,No,3,3,5,0,23,1,63,18,41,7,0,8,3,12,No,4,96,97,20,29,NA,97,6,14,24,35,21,3.5,100,0,20,62,17,0,0,274,0,273,179.05571,263,126.24,0,0,54.4,263,84.16,0,0,36.3,56,11.2,0,0,4.8,0,0,0,0,0,52,3.12,1.3,52,1.56,0.7,52,1.56,0.7,52,4.16,1.8,0,0,0,0,0,0,232,0
8818,S,E,NA,NA,NA,294,861,9,4,10,No,0,No,29,No,2,No,40,No,1,No,212,Yes,20,No,22,No,53,Yes,3,0,10,1,14,0,72,8,49,9,0,5,4,19,No,4,96,96,20,29,NA,89,0,9,29,40,21,3.73,96,4,24,76,0,0,0,306,0,306,183.17003,294,141.12,0,0,53.5,294,94.08,0,0,35.6,70,14,0,0,5.3,0,0,0,0,0,74,4.44,1.7,74,2.22,0.8,74,2.22,0.8,74,5.92,2.2,0,0,0,0,0,0,264,0
